Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption	HasSixToes
HG00625	CHS	EAS	false	false	3	false
HG00626	CHS	EAS	true	false	4	false
HG00627	CHS	EAS	false	true	4	false
HG00628	CHS	EAS	false	false	0	false
HG00629	CHS	EAS	true	false	3	false
HG00630	CHS	EAS	false	true	7	false
HG00631	CHS	EAS	false	true	7	false
HG00632	CHS	EAS	true	true	3	true
HG00633	CHS	EAS	false	false	4	false
HG00634	CHS	EAS	false	true	7	false
HG00635	CHS	EAS	true	false	4	false
HG00636	CHS	EAS	false	false	2	false
HG00637	PUR	AMR	false	true	3	false
HG00638	PUR	AMR	true	false	7	false
HG00639	PUR	AMR	true	false	5	false
HG00640	PUR	AMR	false	false	7	false
HG00641	PUR	AMR	true	false	4	false
HG00642	PUR	AMR	false	false	4	false
HG00650	CHS	EAS	false	true	2	false
HG00651	CHS	EAS	true	false	4	false
HG00652	CHS	EAS	true	false	4	false
HG00653	CHS	EAS	false	false	7	false
HG00654	CHS	EAS	true	true	5	false
HG00655	CHS	EAS	true	true	2	false
HG00656	CHS	EAS	false	true	4	false
HG00657	CHS	EAS	true	true	4	false
HG00658	CHS	EAS	false	true	6	false
HG00662	CHS	EAS	false	true	4	false
HG00663	CHS	EAS	true	false	4	false
HG00664	CHS	EAS	false	false	6	false
HG00671	CHS	EAS	false	true	6	false
HG00672	CHS	EAS	true	true	2	false
HG00673	CHS	EAS	false	true	3	false
HG00674	CHS	EAS	false	true	5	false
HG00675	CHS	EAS	true	false	4	false
HG00676	CHS	EAS	false	true	6	false
HG00683	CHS	EAS	false	false	6	false
HG00684	CHS	EAS	true	false	4	false
HG00685	CHS	EAS	false	true	2	false
HG00689	CHS	EAS	false	true	4	false
HG00690	CHS	EAS	true	true	3	false
HG00691	CHS	EAS	false	true	5	false
HG00692	CHS	EAS	false	true	2	false
HG00693	CHS	EAS	true	false	5	false
HG00694	CHS	EAS	false	false	3	false
HG00698	CHS	EAS	false	true	5	false
HG00699	CHS	EAS	true	true	6	false
HG00700	CHS	EAS	true	true	3	false
HG00701	CHS	EAS	false	true	3	false
HG00702	CHS	EAS	true	false	2	false
HG00703	CHS	EAS	false	true	9	false
HG00704	CHS	EAS	false	true	5	false
HG00705	CHS	EAS	true	true	5	false
HG00706	CHS	EAS	false	false	5	false
HG00707	CHS	EAS	false	true	5	false
HG00708	CHS	EAS	true	false	3	false
HG00709	CHS	EAS	false	false	5	false
HG00716	CHS	EAS	false	true	3	false
HG00717	CHS	EAS	true	true	4	false
HG00718	CHS	EAS	false	true	1	false
HG00728	CHS	EAS	false	false	2	false
HG00729	CHS	EAS	true	true	4	false
HG00730	CHS	EAS	true	false	5	false
HG00731	PUR	AMR	false	true	1	false
HG00732	PUR	AMR	true	false	4	false
HG00733	PUR	AMR	true	false	5	false
HG00734	PUR	AMR	true	false	4	false
HG00735	PUR	AMR	true	false	6	false
HG00736	PUR	AMR	false	false	3	false
HG00737	PUR	AMR	true	true	2	false
HG00738	PUR	AMR	false	true	3	false
HG00739	PUR	AMR	false	true	4	false
HG00740	PUR	AMR	true	true	2	false
HG00741	PUR	AMR	true	true	3	false
HG00742	PUR	AMR	false	false	4	false
HG00743	PUR	AMR	true	false	3	false
HG00759	CDX	EAS	true	true	2	false
HG00766	CDX	EAS	true	true	4	false
HG00844	CDX	EAS	false	false	5	false
HG00851	CDX	EAS	true	false	6	false
HG00864	CDX	EAS	true	true	6	false
HG00866	CDX	EAS	false	false	0	false
HG00867	CDX	EAS	true	false	5	false
HG00879	CDX	EAS	true	true	3	false
HG00881	CDX	EAS	false	false	6	false
HG00956	CDX	EAS	true	true	4	false
HG00978	CDX	EAS	true	false	3	false
HG00982	CDX	EAS	false	true	7	false
HG00983	CDX	EAS	false	false	6	false
HG01028	CDX	EAS	false	true	2	false
HG01029	CDX	EAS	true	true	4	false
HG01031	CDX	EAS	false	true	3	false
HG01046	CDX	EAS	true	false	7	false
HG01047	PUR	AMR	false	false	6	false
HG01048	PUR	AMR	false	false	6	false
HG01049	PUR	AMR	true	true	6	false
HG01050	PUR	AMR	true	false	4	false
HG01051	PUR	AMR	false	true	2	false
HG01052	PUR	AMR	true	false	4	false
HG01053	PUR	AMR	true	false	3	false
HG01054	PUR	AMR	false	false	3	false
HG01055	PUR	AMR	true	true	5	false
HG01056	PUR	AMR	false	true	4	false
HG01058	PUR	AMR	true	false	3	false
HG01060	PUR	AMR	false	true	3	false
HG01061	PUR	AMR	true	false	5	false
HG01062	PUR	AMR	true	false	3	false
HG01063	PUR	AMR	false	true	5	false
HG01064	PUR	AMR	true	false	2	true
HG01066	PUR	AMR	false	false	6	false
HG01067	PUR	AMR	true	true	4	false
HG01068	PUR	AMR	true	true	4	false
HG01069	PUR	AMR	false	true	2	false
HG01070	PUR	AMR	true	false	4	false
HG01071	PUR	AMR	true	true	5	false
HG01072	PUR	AMR	false	true	5	false
HG01073	PUR	AMR	true	true	2	false
HG01074	PUR	AMR	false	true	3	false
HG01075	PUR	AMR	false	false	6	true
HG01077	PUR	AMR	true	false	4	false
HG01079	PUR	AMR	false	false	3	false
HG01080	PUR	AMR	true	false	2	false
HG01081	PUR	AMR	true	false	2	false
HG01082	PUR	AMR	false	true	2	true
HG01083	PUR	AMR	true	false	7	false
HG01084	PUR	AMR	true	false	3	false
HG01085	PUR	AMR	false	false	3	false
HG01086	PUR	AMR	true	false	4	false
HG01087	PUR	AMR	true	true	4	false
HG01088	PUR	AMR	false	false	5	false
HG01089	PUR	AMR	true	true	5	false
HG01090	PUR	AMR	false	true	4	false
HG01092	PUR	AMR	true	true	6	false
HG01094	PUR	AMR	false	false	4	false
HG01095	PUR	AMR	true	false	7	false
HG01096	PUR	AMR	false	false	5	false
HG01097	PUR	AMR	false	false	4	false
HG01098	PUR	AMR	true	false	5	false
HG01099	PUR	AMR	false	true	5	false
HG01100	PUR	AMR	true	false	3	false
HG01101	PUR	AMR	false	true	3	false
HG01102	PUR	AMR	true	false	5	false
HG01103	PUR	AMR	true	true	5	false
HG01104	PUR	AMR	false	true	7	false
HG01105	PUR	AMR	true	true	3	false
HG01106	PUR	AMR	false	true	4	false
HG01107	PUR	AMR	false	true	3	false
HG01108	PUR	AMR	true	true	7	false
HG01109	PUR	AMR	false	true	6	false
HG01110	PUR	AMR	false	false	4	false
HG01111	PUR	AMR	true	false	2	false
HG01112	CLM	AMR	false	true	3	false
HG01113	CLM	AMR	true	false	6	false
HG01114	CLM	AMR	true	false	6	true
HG01119	CLM	AMR	true	true	5	false
HG01121	CLM	AMR	false	true	6	false
HG01122	CLM	AMR	true	true	4	false
HG01123	CLM	AMR	true	true	4	false
HG01124	CLM	AMR	false	true	5	false
HG01125	CLM	AMR	true	false	4	false
HG01126	CLM	AMR	false	false	5	false
HG01130	CLM	AMR	false	false	5	false
HG01131	CLM	AMR	true	false	3	false
HG01133	CLM	AMR	false	true	3	false
HG01134	CLM	AMR	true	false	5	false
HG01135	CLM	AMR	false	false	4	false
HG01136	CLM	AMR	false	true	2	false
HG01137	CLM	AMR	true	true	4	false
HG01138	CLM	AMR	false	false	3	false
HG01139	CLM	AMR	false	false	4	false
HG01140	CLM	AMR	true	false	2	false
HG01141	CLM	AMR	true	false	3	false
HG01142	CLM	AMR	false	false	6	false
HG01148	CLM	AMR	false	false	0	false
HG01149	CLM	AMR	true	false	5	false
HG01150	CLM	AMR	true	true	6	false
HG01161	PUR	AMR	false	true	3	false
HG01162	PUR	AMR	true	false	2	false
HG01164	PUR	AMR	false	true	3	false
HG01167	PUR	AMR	false	false	3	false
HG01168	PUR	AMR	true	true	4	false
HG01169	PUR	AMR	true	true	6	false
HG01170	PUR	AMR	false	false	5	false
HG01171	PUR	AMR	true	true	2	false
HG01172	PUR	AMR	false	true	5	false
HG01173	PUR	AMR	false	false	2	false
HG01174	PUR	AMR	true	false	3	false
HG01175	PUR	AMR	true	true	3	false
HG01176	PUR	AMR	false	false	2	false
HG01177	PUR	AMR	true	false	7	false
HG01178	PUR	AMR	false	false	4	false
HG01182	PUR	AMR	false	false	5	false
HG01183	PUR	AMR	true	true	5	false
HG01184	PUR	AMR	true	true	3	false
HG01187	PUR	AMR	false	false	3	false
HG01188	PUR	AMR	true	false	2	false
HG01189	PUR	AMR	false	false	7	false
HG01190	PUR	AMR	false	false	6	false
HG01191	PUR	AMR	true	false	5	false
HG01192	PUR	AMR	false	true	7	false
HG01195	PUR	AMR	true	true	4	false
HG01197	PUR	AMR	false	false	5	false
HG01198	PUR	AMR	true	false	3	false
HG01199	PUR	AMR	false	true	4	false
HG01200	PUR	AMR	false	false	3	false
HG01204	PUR	AMR	false	false	5	false
HG01205	PUR	AMR	true	false	4	false
HG01206	PUR	AMR	false	false	3	false
HG01241	PUR	AMR	false	true	5	false
HG01242	PUR	AMR	true	true	5	false
HG01243	PUR	AMR	false	false	5	false
HG01247	PUR	AMR	false	false	4	false
HG01248	PUR	AMR	true	true	4	false
HG01249	PUR	AMR	true	true	0	false
HG01250	CLM	AMR	false	true	0	false
HG01251	CLM	AMR	true	true	4	false
HG01252	CLM	AMR	false	true	5	false
HG01253	CLM	AMR	false	true	2	false
HG01254	CLM	AMR	true	true	4	false
HG01255	CLM	AMR	false	false	6	false
HG01256	CLM	AMR	false	true	4	false
HG01257	CLM	AMR	true	false	5	false
HG01258	CLM	AMR	false	false	4	false
HG01259	CLM	AMR	false	false	2	false
HG01260	CLM	AMR	true	false	5	false
HG01261	CLM	AMR	false	true	3	false
HG01269	CLM	AMR	true	true	5	false
HG01271	CLM	AMR	false	false	8	false
HG01272	CLM	AMR	true	true	4	false
HG01273	CLM	AMR	false	false	4	false
HG01274	CLM	AMR	false	false	4	false
HG01275	CLM	AMR	true	false	5	false
HG01276	CLM	AMR	true	true	3	false
HG01277	CLM	AMR	false	false	5	false
HG01278	CLM	AMR	true	true	3	false
HG01279	CLM	AMR	true	false	4	false
HG01280	CLM	AMR	false	false	7	false
HG01281	CLM	AMR	true	false	6	false
HG01284	CLM	AMR	true	true	5	false
HG01286	PUR	AMR	false	false	5	false
HG01301	PUR	AMR	true	true	4	true
HG01302	PUR	AMR	false	true	1	false
HG01303	PUR	AMR	true	false	2	false
HG01305	PUR	AMR	false	false	4	false
HG01308	PUR	AMR	false	false	2	false
HG01311	PUR	AMR	false	true	6	false
HG01312	PUR	AMR	true	true	2	false
HG01322	PUR	AMR	false	true	5	false
HG01323	PUR	AMR	true	false	5	false
HG01324	PUR	AMR	true	false	4	false
HG01325	PUR	AMR	false	false	2	false
HG01326	PUR	AMR	true	false	3	false
HG01327	PUR	AMR	false	true	7	false
HG01334	GBR	EUR	false	false	4	false
HG01341	CLM	AMR	false	true	4	false
HG01342	CLM	AMR	true	false	1	false
HG01343	CLM	AMR	true	false	5	false
HG01344	CLM	AMR	false	true	0	false
HG01345	CLM	AMR	true	true	5	false
HG01346	CLM	AMR	true	false	5	false
HG01347	CLM	AMR	false	true	4	false
HG01348	CLM	AMR	true	true	6	false
HG01349	CLM	AMR	true	false	8	false
HG01350	CLM	AMR	false	false	5	false
HG01351	CLM	AMR	true	true	1	false
HG01352	CLM	AMR	true	true	2	false
HG01353	CLM	AMR	false	true	4	false
HG01354	CLM	AMR	true	false	3	false
HG01355	CLM	AMR	true	false	3	false
HG01356	CLM	AMR	false	false	7	false
HG01357	CLM	AMR	true	true	4	false
HG01358	CLM	AMR	false	false	1	false
HG01359	CLM	AMR	false	true	5	false
HG01360	CLM	AMR	true	true	3	false
HG01361	CLM	AMR	true	false	7	false
HG01362	CLM	AMR	false	true	4	false
HG01363	CLM	AMR	true	false	2	false
HG01364	CLM	AMR	true	true	4	false
HG01365	CLM	AMR	false	false	6	false
HG01366	CLM	AMR	true	true	5	false
HG01367	CLM	AMR	true	true	6	false
HG01369	CLM	AMR	true	false	3	false
HG01372	CLM	AMR	true	true	5	false
HG01374	CLM	AMR	false	true	6	false
HG01375	CLM	AMR	true	true	4	false
HG01376	CLM	AMR	true	true	6	false
HG01377	CLM	AMR	false	false	1	false
HG01378	CLM	AMR	true	true	3	false
HG01379	CLM	AMR	true	true	3	false
HG01383	CLM	AMR	false	false	3	false
HG01384	CLM	AMR	true	false	5	false
HG01385	CLM	AMR	true	false	5	false
HG01389	CLM	AMR	false	false	4	false
HG01390	CLM	AMR	true	false	5	false
HG01391	CLM	AMR	true	true	2	false
HG01392	PUR	AMR	false	false	5	false
HG01393	PUR	AMR	true	false	4	false
HG01394	PUR	AMR	true	false	3	false
HG01395	PUR	AMR	false	true	2	false
HG01396	PUR	AMR	true	false	5	true
HG01397	PUR	AMR	true	false	3	false
HG01398	PUR	AMR	false	true	6	false
HG01402	PUR	AMR	false	true	1	false
HG01403	PUR	AMR	true	false	3	false
HG01404	PUR	AMR	true	false	6	false
HG01405	PUR	AMR	false	true	5	false
HG01411	PUR	AMR	false	false	2	false
HG01412	PUR	AMR	false	false	3	false
HG01413	PUR	AMR	false	true	5	false
HG01414	PUR	AMR	true	false	5	false
HG01415	PUR	AMR	true	true	4	false
HG01431	CLM	AMR	false	true	2	false
HG01432	CLM	AMR	true	false	4	false
HG01433	CLM	AMR	false	true	6	false
HG01435	CLM	AMR	true	true	3	false
HG01437	CLM	AMR	false	false	4	false
HG01438	CLM	AMR	true	false	4	false
HG01439	CLM	AMR	true	true	5	false
HG01440	CLM	AMR	false	false	5	false
HG01441	CLM	AMR	true	false	3	false
HG01442	CLM	AMR	false	true	5	false
HG01443	CLM	AMR	false	false	4	true
HG01444	CLM	AMR	true	true	2	false
HG01445	CLM	AMR	false	false	3	false
HG01447	CLM	AMR	true	true	4	false
HG01452	CLM	AMR	false	false	5	false
HG01453	CLM	AMR	true	false	5	false
HG01454	CLM	AMR	true	true	5	false
HG01455	CLM	AMR	false	false	5	false
HG01456	CLM	AMR	true	false	7	false
HG01457	CLM	AMR	false	false	6	false
HG01459	CLM	AMR	true	false	2	true
HG01461	CLM	AMR	false	false	4	false
HG01462	CLM	AMR	true	false	3	false
HG01463	CLM	AMR	true	true	2	false
HG01464	CLM	AMR	false	false	4	false
HG01465	CLM	AMR	true	false	2	false
HG01466	CLM	AMR	true	false	4	false
HG01468	CLM	AMR	true	true	1	false
